"Name","Class","Launched","Rebuilt","Nationality","Type","Primary Number","Primary Bore","Secondary Number","Secondary Bore","Torpedo Tubes","Belt","Deck","Turret","Mines","Aircraft","Speed","Tonnage","Torpedo Class","Main Turrets","Notes"

"Paulding","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",
"Drayton","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",
"Roe","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",
"Terry","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",
"Perkins","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",
"Sterett","Paulding",1910,1910,"USA","Destroyer",5,3,0,0,6,0,0,0,0,0,29,742,"B"," A PwQw X Y Z",

"Sampson","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"
"Rowan","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"
"Davis","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"
"Allen","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"
"Wilkes","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"
"Shaw","Sampson",1916,1916,"USA","Destroyer",4,4,0,0,12,0,0,0,0,0,29,1111,"B"," A PwQw X Y Z","6 TT per side"

